Verse_number,vagga,verse_en,verse_sn,meaning_en,meaning_sn
1,Yamakavagga – The Pairs,Manopubbaṅgamā dhammā manoseṭṭhā manomayā; manasā ce pāduṭṭhena bhāsati vā karoti vā tato naṃ dukkham anveti cakkaṃ va vahato padaṃ.,"මනෝපුබ්බංගමා ධම්මා – මනෝසෙට්ඨා මනෝමයා, මනසා චේ පදුට්ඨේන – භාසති වා කරෝති වා, තතෝ නං දුක්ඛමංවේති – චක්කං ව වහතෝ පදං","Mind precedes all mental states. Mind is their chief; they are all mind-wrought. If with an impure mind a person speaks or acts, suffering follows him like the wheel that follows the foot of the ox.",කරන කියන හැම දෙයටම සිතමය මුල්වන්නේ නපුරු සිතින් කරනා දෙය මෙලෙසයි පල දෙන්නේ ගොනා පසුපස රිය සක බර ගෙන යන්නේ ඒ ලෙසටයි කල පවුකම් මතුවට පල දෙන්නේ
2,Yamakavagga - The Pairs,Manopubbaògamá dhammá manoseþþhá manomayá; manasá ce pasannena bhásati vá karoti vá tato naí sukham anveti cháyá va anapáyinì.,"මනෝ පුබ්බංගමා ධම්මා-
මනෝ සෙට්ඨා මනෝමයා
මනසා චෙ පසන්නේන –
භාසතිවා කරෝති වා
ත‍තෝ නං දුක්ඛමන්වේති-
ඡායාව අනපායිනී.","Mind precedes all mental states. Mind is their chief; they are all mind-wrought. If with a pure mind a person speaks or acts, happiness follows him like his never-departing shadow. ","කරන කියන හැම දෙයටම සිතමය       මුල්වන්නේ
දැහැමි සිතින් කරනා දෙය මෙලෙසයි   පල දෙන්නේ
සෙවනැල්ලයි ඔබ පස සැහැල්ලුවෙන්        එන්නේ
ඒ ලෙසටයි ඔබ කරනා පිං         මතු පල දෙන්නේ. "
3,Yamakavagga - The Pairs,"Akkocchi maí, avadhi maí, ajini maí, ahási me,” ye ca taí upanayhanti, veraí tesaí na sammati.","අක්කොච්ඡි මං අවධිමං-
අජිනි මං අහාසි මේ
යේ තං උපනය්හන්ති –
වේරං තේසං න සම්මති.","“He abused me, he struck me, he overpowered me, he robbed me”—those who harbour such thoughts do not still their hatred. ","අසවල් කෙනා මට බැන                             මට ගැසුවේය.
මා සතු දේ ගත්තේ’යැ                                    සිතුවේය.
මේ ලෙස සිතා ක්‍රෝධය                             බැඳ ගත්තේය
මෙය වෛරයක් වී සසරට                               යන්නේය."
4,Yamakavagga - The Pairs,"Akkocchi maí, avadhi maí, ajini maí, ahási me,” ye ca taí n’upanayhanti, veraí tes’úpasammati.","අක්කොච්ඡි මං අවධිමං –
අජිනි මං අහාසි මේ
යේ තං න උපනය්හන්ති-
වේරං තෙසූපසම්මති.","“He abused me, he struck me, he overpowered me, he robbed me”—those who do not harbour such thoughts still their hatred. ","අසවල් කෙනා මට බැන                          මට ගැසුවේය.
මා සතු දේ ගත්තේ’යැයි                               සිතුවේය.
මේ ගැන ක්‍රෝධය                             නොම බැන්දේය.
වෛරය සංසිදී සිත                            සැනසෙන්නේය.."
5,Yamakavagga - The Pairs,"Na hi verena veráni sammant’ìdha kudácanaí, averena ca sammanti: esa dhammo sanantano.","නහී වේරේන වේරානි –
සම්මන්තීධ කුදාචනං
අවේරේනච සම්මන්තී-
ඒස ධම්මෝ සනන්තනො.",Hatred is never appeased by hatred in this world; by non- hatred alone is hatred appeased. This is an eternal law.,"කිසිදා වෛරයෙන් වෛරය                  නොසන්සිඳේ
වෛරය වෛර නොකිරීමෙන්ම                  සන්සිඳේ,
බුදුවරු දෙසු දහමකි ඒ නොනැසෙන               නිබඳේ,
මෙය නොනැසෙනා දහමක් ලෙස            ලොවේ රැඳේ"
6,Yamakavagga - The Pairs,"Pare ca na vijánanti, mayam ettha yamámase; ye ca tattha vijánanti, tato sammanti medhagá.","පරේ ච න විජානන්ති –
මයමෙත්ථ යමාමසේ
යේ ච තත්ථ විජානන්ති –
ත‍තෝ සම්මන්ති මේධගා.","There are those who do not realize that one day we all must die, but those who realize this settle their quarrels. ","කල කෝලහල කරන්නන්                       මේ ලොව වසන,
“අපි මේ කරන දෙයින් අපම නැසෙන්නෙමු යැ’යි       නොදැන,
අරගල වලින් මරු දක්නා                               බව දන්න,
නුවණැති දනෝ වැළකෙති                           අරගල වලින"
7,Yamakavagga - The Pairs,"Subhánupassií viharantaí indriyesu asaívutaí bhojanamhi cámattaññuí kusìtaí hìnavìriyaí, taí ve pasahati Máro váto rukkhaí va dubbalaí.","සුභනුපස්සිං විහරන්තං –
ඉන්ද්‍රියේසු අසන්වුතං
භොජනම්හි අමත්තඤ්ඤුං –
කුසීතං හීනවීරියං
තං වේ පසහති මාරෝ-
වා‍තෝ රුක්ඛං ව දුබ්බලං","Just as a storm throws down a weak tree, so does Mára overpower one who lives for the pursuit of pleasures, who is uncontrolled in his senses, immoderate in eating, indolent and dissipated.  Mára: the Tempter in Buddhism, represented in the scriptures as 
an evil-minded deity who tries to lead people away from the path to 
liberation. The commentaries explain Mára as the lord of evil forces, 
as mental defilements, and as death.","රූප සුභයි ගෙන ඉඳුරන්                              පිනවන්නේ,
කෑමෙහි පමන නොම දැන                       කුස පුරවන්නේ,
සැඩ  සුළගින් දුර්වල ගස්                            ඉදිරෙන්නේ,
විරි නොවඩන්නා එලෙසය                        මරු අරගන්නේ  "
8,Yamakavagga - The Pairs,"Asubhánupassií viharantaí  indriyesu susaívutaí bhojanamhi ca mattaññum  saddham áraddhavìriyam, taí ve nappasahati Máro  váto selam va pabbatam.","අසුභානුපස්සිං විහරන්තං –
ඉන්ද්‍රියේසු සුසංවුතං
භෝජනම්හි ච මත්තඤ්ඤුං –
සද්ධං ආරද්ධවීරියං
තං වේ නප්පසහති මාරෝ –
වා‍තෝ සේලං ව පබ්බතන්","Just as a storm cannot throw down a rocky mountain, so Mára can never overpower one who lives meditating on the impurities, who is controlled in his senses, moderate in eating, and filled with faith and earnest effort. The impurities (asubha): subjects of meditation which focus on the 
inherent repulsiveness of the body, recommended especially as 
powerful antidotes to lust.","රූප අසුභ බව දැන සිත                         රැකගන්නේ,
අහරෙහි පමණ      ඉන්                     සැනසෙන්නේ,
කිසි සුළගකින් නැහැ ගල්                පව් සෙලවෙන්නේ,
එලෙසය ඔවුන් මරුවා                        පරදා ලන්නේ."
9,Yamakavagga - The Pairs,"Anikkasávo kásávaí yo vatthaí paridahissati apeto damasaccena, na so kásávam arahati.","අනික්සාවෝ කාසාවං –
යෝ වත්ථං පරිදහෙස්සති
අපේ‍තෝ දමසච්චේන –
න සෝ කාසාවමරහති.","Whoever wears the monk’s yellow robe while being depraved, devoid of self-control and truthfulness, he surely is not worthy of the yellow robe.","සිව්රක් දැරූමුත්                        සිත නොම කල දමන,
කෙලෙසුන් පිරි සිතින් අකුසලයෙහි ම               යෙදෙන
මුසා බස් දොඩන අහරෙහි                 පමණ නොම දැන,
ඔහු නුසුදුසුය සිව්රක්                          පොරවා ඉන්න. "
10,Yamakavagga - The Pairs,"Yo ca vantakasáv’assa sìlesu susamáhito upeto damasaccena, sa ve kásávam arahati.","යෝච වන්තකසාවස්ස –
සීලේසු සුසමාහි‍තෝ
උපේ‍තෝ දමසච්චේන  –
ස වේ කසවමරහති.","But whoever is purged of depravity, well established in virtues, and filled with self-control and truthfulness, he indeed is worthy of the yellow robe.","සිව්රක්  දරා ඉඳුරන් සංවර                          කරන
නීති සිල් වඩා සිත තුල කෙලෙසුන්                  නසන
මුසාවෙන් වෙන්ව කුසලය                           වඩන
උතුමන් හොබී සිවුරෙහි                             ඉන්න"
